"BFN","LICENSE_TYPE","LICENSE_SUB_TYPE","LICENSE_STATUS","EXPIRATION_DATE","ENTITY_NAME","ESTABLISHMENT_ADDRESS"
"2021-BFN-0000532","Short Term Rental","NA","Pending","1/25/2021 11:28:29 AM","LAUREN BRAY","2026 S Lafayette ST  Denver 80210"
"2021-BFN-0001043","Garage - Repair of Motor Vehic","NA","Pending","2/17/2021 3:29:59 PM","CALIBER BODYWORKS OF COLORADO, INC","4171  Morrison Rd  Denver 80219"
"2021-BFN-0000227","Retail Marijuana Inf Prod Mfg","NA","Pending","1/12/2021 12:34:24 PM","FRESH BAKED LLC","735 W Bayaud Ave  Denver 80223"
"2021-BFN-0000230","Retail Marijuana Store","NA","Pending","1/12/2021 1:00:42 PM","PI NORTH SHERIDAN LLC","446 N Sheridan Blvd  Denver 80226"
"2021-BFN-0000797","Combined License","NA","Pending","2/5/2021 10:31:28 AM","SAGE CLIENT 232, LLC","1601  19th St 150 Denver "
"2021-BFN-0001256","Retail Food Establishment","Restaurant - Temporary","Pending","3/1/2021 2:36:25 PM","Vicky's Thai Kitchen LLC","17973  Bates Ave    "
"2021-BFN-0001467","Lodging Facility","NA","Pending","3/10/2021 10:17:12 AM","ESPADIN HOSPITALITY INTERNATIONAL LLC","2880 N Zuni St  Denver "
"2021-BFN-0000501","Child Care","Center","Pending","1/22/2021 2:03:48 PM","Avid 4 Adventure","700 S Franklin ST  Denver 80209"
"2021-BFN-0000903","Retail Food Establishment","Restaurant","Pending","2/11/2021 9:18:30 AM","LA TAVOLA NORTHFIELD LLC","8286 E Northfield Blvd 1545 Denver 80238"
"2021-BFN-0001312","Child Care","Center","Pending","3/3/2021 11:29:24 AM","Summer Scholars","2540 E 29th AVE  Denver 80205"
"2021-BFN-0001332","Boarding Home","NA","Pending","3/4/2021 9:26:37 AM","CENTER OF HOPE","5303 W KENTUCKY AVE  LAKEWOOD 80226"
"2021-BFN-0000954","Food - Retail","Milk, Dairy, Prepackaged Meats","Pending","2/12/2021 3:37:11 PM","CAFE INSOMNIA, LLC","2500 S Broadway   Denver 80210"
"2021-BFN-0001242","Garage - Repair of Motor Vehic","NA","Pending","2/26/2021 1:41:49 PM","PALMAS WHEELS & TIRES","1899 S Broadway   Denver 80210"
"2021-BFN-0000548","Combined License","NA","Pending","1/26/2021 9:52:21 AM","STEM CIDERS, LLC","2811  Walnut St 150 Denver 80205"
"2021-BFN-0000957","Short Term Rental","NA","Pending","2/12/2021 4:27:13 PM","BASS BRIDGFORTH","3861 W Saratoga AVE  Denver 80123"
"2021-BFN-0001581","Retail Food Establishment","Restaurant","Pending","3/17/2021 11:36:11 AM","GJ MAC","4780 N Yampa St  Denver 80249"
"2021-BFN-0002263","Short Term Rental","NA","Pending","4/14/2021 11:46:00 AM","KRISTEN LE PEAU","4587 N Newton ST  Denver 80211"
"2021-BFN-0002277","Child Care","Center","Pending","4/14/2021 2:41:31 PM","DENVER COOPERATIVE PRESCHOOL","480 N Marion ST  Denver 80218"
"2021-BFN-0001728","Retail Food Establishment","Mobile","Pending","3/24/2021 9:05:21 AM","PLUS TACOS LLC","12722  JASMINE   THORNTON "
"2021-BFN-0001747","Parking Lot, Garage","NA","Pending","3/24/2021 1:10:03 PM","URBBAN VILLAGES INC","1555  Blake St  Denver 80202"
"2021-BFN-0001749","Body Art Est - Permanent","NA","Pending","3/24/2021 2:15:44 PM","WOLF AND GOAT LLC","1221 N Pecos St 160 Denver "
"2021-BFN-0001642","Retail Food Establishment","Restaurant","Pending","3/19/2021 12:03:56 PM","XSC DENVER 1 CLUB, LLC","3100 N Inca St  Denver 80202"
"2021-BFN-0002330","Short Term Rental","NA","Pending","4/16/2021 11:54:48 AM","GUIREC LE BOUTEILLER","1304 N York ST  Denver 80206"
"2021-BFN-0001813","Combined License","NA","Pending","3/26/2021 2:14:49 PM","609 CORONA, LLC","609 N Corona St  Denver 80218"
"2021-BFN-0001816","Retail Food Establishment","Restaurant - Stand-Up","Pending","3/26/2021 2:53:20 PM","CORN HUSK TAMALE COMPANY LLC","3527 W 38th Ave  Denver 80211"
"2021-BFN-0001646","Liquor","Retail","Pending","3/19/2021 1:44:50 PM","ALL IN ONE LIQUOR INC","19245 E 56th Ave  Denver "
"2021-BFN-0002354","Med Marijuana Inf Prod Manuf","NA","Pending","4/16/2021 7:02:59 PM","SMITH ROAD LLC","5200 E Smith Rd 100 Denver "
"2021-BFN-0002375","Short Term Rental","NA","Pending","4/19/2021 11:45:16 AM","STEPHANIE SHAW","2250 S Vrain ST  Denver 80219"
"2021-BFN-0002378","Short Term Rental","NA","Pending","4/19/2021 1:09:07 PM","RUBEN CERDA","3266 N Holly ST  Denver 80207"
"2021-BFN-0001858","Retail Food Establishment","Restaurant","Pending","3/30/2021 11:14:58 AM","GJ MAC","4475 N Peoria St  Denver 80239"
"2021-BFN-0001870","Valet Location License","NA","Pending","3/30/2021 1:05:23 PM","PARKWELL, LLC","1901  Wazee St  Denver 80202"
"2021-BFN-0001871","Tree Service Company","NA","Pending","3/30/2021 1:14:54 PM","GAUDENCIO ADAMES","4577  GOLD MEDAL PT 370 COLORADO SPRINGS 80923"
"2021-BFN-0002415","Retail Food Establishment","Mobile","Pending","4/20/2021 12:51:15 PM","FIRST SIP COFFEE","5614 W CENTER AVE  LAKEWOOD 80226"
"2021-BFN-0002424","Retail Food Establishment","Mobile","Pending","4/20/2021 2:37:43 PM","MAC N NOODLES LLC","9912  GARLAND DR  WESTMINSTER 80021"
"2021-BFN-0002085","Combined License","NA","Pending","4/8/2021 12:36:38 PM","CONCESSIONS COLORADO, LLC","8900  Pena Blvd BC-RJ2 Denver "
"2021-BFN-0001544","Short Term Rental","NA","Pending","3/15/2021 6:22:53 PM","GRACE RUEHLE","1499  Blake ST 3M Denver 80202"
"2021-BFN-0001548","Retail Food Establishment","Restaurant","Pending","3/16/2021 10:41:49 AM","BRIMAX SOUTH LLC","505 E Colfax Ave  Denver 80203"
"2021-BFN-0001559","Retail Food Establishment","Restaurant","Pending","3/16/2021 1:48:25 PM","BRIMAX SOUTH LLC","1905 S Federal Blvd  Denver 80219"
"2021-BFN-0001936","Body Art Est - Permanent","NA","Pending","4/1/2021 12:20:42 PM","VIVA LA RAZA TATTOO CLUB","975 N Federal Blvd  Denver 80204"
"2021-BFN-0002099","Swimming Pool","NA","Pending","4/8/2021 2:20:06 PM","SERVICE PLUS COMMUNITY MANAGEMENT","10150 E Virginia Ave  Denver 80247"
"2021-BFN-0002438","Retail Food Establishment","Mobile","Pending","4/20/2021 6:14:43 PM","FREEFORM PERFORMANCE NUTRITION","      "
"2021-BFN-0002127","Body Art Est - Permanent","NA","Pending","4/9/2021 11:23:13 AM","STREET HATE TATTOO","944 N Santa Fe Dr  Denver "
"2021-BFN-0002460","Private Security Employer","NA","Pending","4/21/2021 1:16:31 PM","Sparky's Consulting & Tactics, LLC","      "
"2021-BFN-0002471","Retail Food Establishment","Mobile","Pending","4/21/2021 3:44:45 PM","LONCHERA LAS FLORES LLC","5016 N Troy St  Denver 80239"
"2021-BFN-0002477","Short Term Rental","NA","Pending","4/21/2021 7:48:00 PM","KYLE HANSON","5443 N Danube ST  Denver 80249"
"2021-BFN-0002164","Retail Tobacco Store","NA","Pending","4/12/2021 11:07:27 AM","KCJS-FM entrprises inc.","5701 E Colfax AVE  Denver 80220"
"2021-BFN-0002187","Liquor","Special Events","Pending","4/12/2021 2:53:32 PM","Forage Forward Inc","      "
"2021-BFN-0002299","Retail Food Establishment","Mobile","Pending","4/15/2021 10:13:35 AM","PASSION PROJECTS LLC","2080  CALIFORNIA ST 408 DENVER 80205"
"2021-BFN-0002303","Combined License","NA","Pending","4/15/2021 11:14:51 AM","BAIDWAN CENTRAL INC.","7352 E 29th Ave 704 Denver "
"2021-BFN-0002337","Retail Food Establishment","Restaurant","Pending","4/16/2021 1:29:47 PM","ONEFOLD 2 INC","1919  19th St  Denver 80202"
"2021-BFN-0002356","Retail Marijuana Inf Prod Mfg","NA","Pending","4/16/2021 7:30:04 PM","HIGHLINE ANALYTICAL INDUSTRIES LLC","1285 S Bannock St  Denver 80223"
"2021-BFN-0002363","Short Term Rental","NA","Pending","4/17/2021 12:19:03 PM","HOLLY TRACY","1569 N High ST  Denver 80218"
"2021-BFN-0002397","Liquor","Special Events","Pending","4/19/2021 10:55:29 PM","Denver Art Society","      "
"2021-BFN-0001873","Med Marijuana Inf Prod Manuf","NA","Pending","3/30/2021 2:03:15 PM","XQUISITE XTRACTS LLC","150 N Rio Grande Blvd  Denver 80223"
"2021-BFN-0001713","Retail Tobacco Store","NA","Pending","3/23/2021 3:02:33 PM","Nova Vapors LLC","4894 N Chambers RD  Denver 80239"
"2021-BFN-0002407","Parking Lot, Garage","NA","Pending","4/20/2021 11:08:13 AM","PARKWELL LLC","100 N Detroit St  Denver 80206"
"2021-BFN-0001920","Retail Tobacco Store","NA","Pending","3/31/2021 4:10:10 PM","Meseret","2375 W Alameda AVE  Denver 80223"
"2021-BFN-0002055","Retail Food Establishment","Restaurant","Pending","4/7/2021 12:36:53 PM","SALT SQUAD LLC","2401  Blake St 102 Denver 80205"
"2021-BFN-0002061","Liquor","Retail","Pending","4/7/2021 3:30:19 PM","SPINELLI'S SPECIALTY B.W.S, LLC","4615 E 23rd Ave  Denver 80207"
"2021-BFN-0002083","Retail Food Establishment","Mobile","Pending","4/8/2021 11:48:30 AM","COMIDA YUCATECA RIVIERA MAYA LLC","741  GALENA   AURORA 80010"
"2021-BFN-0001930","Retail Food Establishment","Mobile","Pending","4/1/2021 10:38:19 AM","SHOEN FAMILY FUN LLC","7976 W CALHOUN PL  LITTLETON 80123"
"2021-BFN-0002096","Retail Tobacco Store","NA","Pending","4/8/2021 1:56:29 PM","BlueTech Inc","10101 E Hampden AVE 105 Denver 80231"
"2021-BFN-0002112","Liquor","Special Events","Pending","4/8/2021 4:29:41 PM","Re:Vision","      "
"2021-BFN-0002439","Short Term Rental","NA","Pending","4/20/2021 7:18:18 PM","COURTNEY KIELMAN","3011 N Oneida ST  Denver 80207"
"2021-BFN-0002440","Retail Food Establishment","Restaurant - Stand-Up","Pending","4/20/2021 7:51:54 PM","NATNIMIT LLC","810 N Vallejo St  Denver "
"2021-BFN-0002441","Combined License","NA","Pending","4/21/2021 5:55:22 AM","MLK CATERING LLC","5560 E 33rd Ave  Denver 80207"
"2021-BFN-0002129","Retail Food Establishment","Restaurant","Pending","4/9/2021 11:46:24 AM","NEVERIA LAS PRINCESAS","3060 W Mississippi Ave  Denver 80219"
"2021-BFN-0002147","Short Term Rental","NA","Pending","4/9/2021 3:13:45 PM","JAMES MARTELL","1325 N Elati ST 5 Denver 80204"
"2021-BFN-0002452","Short Term Rental","NA","Pending","4/21/2021 10:55:15 AM","CHASE REED","1700  Bassett ST  Denver 80202"
"2021-BFN-0002453","Food - Wholesale","Fresh Meats, Fish, Caterers","Pending","4/21/2021 11:15:30 AM","YUMMY YUMMY PRODUCTS LLC","4897 N Oakland St  Denver 80239"
"2021-BFN-0002470","Burglar Alarm System Company","NA","Pending","4/21/2021 3:42:26 PM","RHYNO SYSTEMS, LLC","9532  PIERCE ST  WESTMINSTER 80021"
"2019-BFN-0003283","Combined License","NA","Pending","4/17/2019 3:25:30 PM","SKYPORT GROUP LLC","8900  Pena Blvd  Denver 80249"
"2019-BFN-0009785","Retail Marij Opt. Prem. Cultiv","NA","Pending","10/4/2019 12:20:43 PM","ZENGOLDS LLC","5227 N Monroe St  Denver 80216"
"2020-BFN-0000912","Retail Marijuana Store","NA","Pending","2/11/2020 11:24:21 AM","8058 LLC","4755 N Lipan St  Denver 80211"
"2020-BFN-0001813","Child Care Home","NA","Pending","3/23/2020 12:29:26 PM","SECOND FAMILY CHILDCARE LLC","18955 E Robins Dr  Denver 80249"
"2020-BFN-0002964","Retail Food Establishment","Restaurant - Temporary","Pending","6/10/2020 3:40:54 PM","Noble Hog Charcuterie LLC","2340  South Pontiac st    "
"2020-BFN-0001602","Retail Food Establishment","Restaurant - Temporary","Pending","3/11/2020 11:41:39 AM","Performance Food Company Inc","147  Avenida Cota    "
"2020-BFN-0002559","Retail Food Establishment","Restaurant - Temporary","Pending","5/15/2020 3:42:47 PM","Sweet Gold Juice Co","1119  Lafayette St    "
"2020-BFN-0003146","Retail Food Establishment","Mobile","Pending","6/22/2020 10:41:54 AM","THE NAKED WEENIE LLC","2823 W Archer Pl  Denver 80219"
"2020-BFN-0002900","Child Care Center","NA","Pending","6/8/2020 3:43:33 PM","TRACKERS EARTH COLORADO, LLC","1201 S Steele St  Denver 80210"
"2020-BFN-0002480","Retail Tobacco Store","NA","Pending","5/12/2020 8:29:50 PM","G Corporation Dba Drinks liquor","3615 W Colfax AVE  Denver 80204"
"2020-BFN-0003895","Combined License","NA","Pending","7/29/2020 10:20:56 AM","GLENDALE PROPERTIES I LLC  / GLENDALE PROPERTIES II LLC","1255 S Birch St  Denver 80246"
"2020-BFN-0004221","Private Security Employer","NA","Pending","8/18/2020 12:32:35 PM","World Security Services, Inc","      "
"2020-BFN-0004241","Retail Food Establishment","Mobile","Pending","8/19/2020 11:49:23 AM","SPICY MEXICAN FOOD CATERING LLC","20 N Lowell Blvd  Denver 80219"
"2020-BFN-0004127","Retail Food Establishment","Restaurant","Pending","8/13/2020 12:18:00 PM","DENVER RESCUE MISSION","4330 E 48th Ave  Denver 80216"
"2020-BFN-0004279","Short Term Rental","NA","Pending","8/20/2020 9:54:53 PM","KAIYI HUANG","75 W 10th AVE  Denver 80204"
"2020-BFN-0004265","Combined License","NA","Pending","8/20/2020 2:11:46 PM","LOS ROBLES MEXICAN RESTAURANT","5910 N Tower Rd 120 Denver "
"2020-BFN-0003641","Liquor","Tastings","Pending","7/15/2020 10:45:27 AM","JOY PHARMACY INC","1302 E 6th Ave  Denver 80218"
"2020-BFN-0005568","Combined License","NA","Pending","10/26/2020 3:29:44 PM","BEST PIZZA, LLC","63 N Quebec  111 Denver "
"2020-BFN-0004848","Combined License","NA","Pending","9/22/2020 8:54:58 AM","LODO EL T LLC","1937  Market St  Denver 80202"
"2020-BFN-0006074","Food - Wholesale","Fresh Milk & Dairy","Pending","11/18/2020 10:52:52 AM","SWEET ACTION MANUFACTORY LLC","1131 W Custer Pl B-1 Denver "
"2020-BFN-0005955","Combined License","NA","Pending","11/13/2020 11:34:41 AM","LEKKER COFFEE LLC","3460  Larimer St  Denver 80205"
"2020-BFN-0006710","Retail Food Establishment","Restaurant","Pending","12/9/2020 1:57:37 PM","ETAIS BAKERY CAFE AT STAPLETON LLC","7357 E 29th Ave  Denver 80238"
"2020-BFN-0005578","Food - Wholesale","Produce, Bulk, Prepackaged","Pending","10/27/2020 11:05:39 AM","LMIC CREAMERY LLC","4411 W Colfax Ave  Denver "
"2020-BFN-0005634","Retail Food Establishment","Restaurant - Stand-Up","Pending","10/28/2020 3:36:42 PM","GREEN VALLEY PARTNERS LLC","7305 E 35th Ave 110 Denver 80238"
"2020-BFN-0007216","Retail Tobacco Store","NA","Pending","12/23/2020 11:28:40 AM","Safeway Stores 45, Inc","6130 E 14th AVE  Denver "
"2020-BFN-0005242","Retail Food Establishment","Restaurant","Pending","10/12/2020 10:22:54 AM","TAG RESTAURANT GROUP","1099  18th St 150 Denver "
"2020-BFN-0004873","Marijuana Transporter","NA","Pending","9/23/2020 12:37:20 PM","DIMEBAG DELIVERY LLC","6440 E Wesley Ave  Denver 80222"
"2020-BFN-0004836","Retail Food Establishment","Mobile","Pending","9/21/2020 12:04:48 PM","THE GINGER PIG LLC","4262  LOWELL BLVD  DENVER 80211"
"2021-BFN-0000046","Marijuana Transporter","NA","Pending","1/5/2021 5:52:35 AM","CHECKER SIX LLC","1120 N Yuma Ct  Denver 80204"
"2020-BFN-0005163","Retail Food Establishment","Restaurant - Stand-Up","Pending","10/7/2020 8:37:21 AM","FRESH TAKE LLC","2720 S Colorado Blvd 706 Denver 80222"
"2020-BFN-0004493","Retail Food Establishment","Mobile","Pending","9/1/2020 12:25:31 PM","BURRITOS YAYA LLC","3302 W 3RD AVE  DENVER 80219"
"2020-BFN-0006084","Retail Food Establishment","Restaurant","Pending","11/18/2020 3:38:16 PM","TORTA GRILL LLC","1818 E Colfax Ave  Denver 80218"
"2020-BFN-0005850","Retail Tobacco Store","NA","Pending","11/8/2020 10:28:44 AM","NEWGO CORP","3100 S Sheridan BLVD F Denver 80227"
"2020-BFN-0006585","Child Care","Center","Pending","12/7/2020 8:52:57 AM","St. Rose of Lima Preschool","1345 W Dakota AVE  Denver 80223"
"2020-BFN-0006129","Combined License","NA","Pending","11/19/2020 10:47:20 AM","NASH-HOLLAND 355 LOGAN INVESTORS LLC","355 N Logan St  Denver 80203"
"2020-BFN-0006154","Combined License","NA","Pending","11/20/2020 9:47:52 AM","AI ENDEAVORS LLC","2868 N Fairfax St  Denver 80207"
"2020-BFN-0004390","Retail Food Establishment","Restaurant - Temporary","Pending","8/27/2020 11:05:50 AM","CHEF CURRY'S CUISINE","     DENVER "
"2020-BFN-0005472","Short Term Rental","NA","Pending","10/22/2020 12:00:00 AM","AUSTIN TOUPIN","2018 N Bryant ST 105 Denver 80211"
"2020-BFN-0005008","Retail Food Establishment","Restaurant","Pending","9/29/2020 1:43:56 PM","WHOLE SOL CO","1611 N Raleigh St  Denver "
"2020-BFN-0006011","Food - Retail","Bakery, Deli","Pending","11/16/2020 3:25:39 PM","STARBUCKS CORPORATION","8801 E Montview Blvd 130 Denver "
"2020-BFN-0006330","Combined License","NA","Pending","11/30/2020 10:16:31 AM","ZIA SUNNYSIDE SPE LLC","4055 N Inca St  Denver 80211"
"2020-BFN-0006244","Short Term Rental","NA","Pending","11/24/2020 2:25:30 PM","IHAO WOO","3609 N Lafayette ST  Denver 80205"
"2020-BFN-0007433","Retail Tobacco Store","NA","Pending","12/30/2020 5:46:48 PM","7-Eleven, Inc.","1800  Welton ST  Denver 80202"
"2020-BFN-0007176","Retail Food Establishment","Mobile","Pending","12/22/2020 9:07:25 AM","LOS PADRINOS LLC","14700 E 104TH AVE #3403 COMMERCE CITY 80022"
"2020-BFN-0007472","Retail Tobacco Store","NA","Pending","12/31/2020 1:39:55 PM","Safeway Stores 45, Inc","560 N Corona ST  Denver 80218"
